aX,aY,aZ,gX,gY,gZ
1.657,-1.140,-0.278,19.592,0.793,13.123
1.733,-1.268,-0.489,27.283,10.315,14.648
1.783,-1.323,-0.667,31.433,22.888,17.212
1.815,-1.427,-0.841,32.104,27.771,19.409
1.698,-1.530,-1.039,31.433,26.611,16.968
1.488,-1.575,-1.127,25.879,24.780,12.451
1.245,-1.594,-1.121,20.874,20.020,13.306
1.020,-1.591,-1.097,20.874,13.672,20.386
0.813,-1.491,-1.053,23.743,7.080,33.752
0.633,-1.319,-0.974,24.719,0.854,52.124
0.518,-1.179,-0.927,27.588,-2.808,74.097
0.389,-0.977,-0.868,33.386,-6.531,100.647
0.275,-0.736,-0.802,40.222,-13.855,127.319
0.219,-0.495,-0.737,46.936,-23.071,151.123
0.226,-0.170,-0.651,52.307,-33.325,168.884
0.476,0.313,-0.610,56.580,-40.894,172.974
0.622,0.744,-0.503,43.762,-32.837,150.330
0.417,1.188,-0.221,12.512,-15.076,111.328
0.257,1.576,0.111,-26.794,-6.653,78.735
0.372,1.771,0.495,-68.176,-13.306,65.918
0.476,1.868,0.819,-92.773,-22.949,65.308
0.635,1.829,1.019,-107.483,-26.978,64.270
0.775,1.722,1.158,-119.385,-27.954,65.125
0.785,1.635,1.280,-121.460,-26.978,67.078
0.784,1.576,1.381,-113.892,-30.457,66.895
0.793,1.512,1.427,-95.215,-40.100,63.843
0.852,1.458,1.424,-73.914,-51.392,61.707
0.961,1.469,1.416,-57.373,-55.481,65.308
1.137,1.446,1.402,-49.622,-44.434,71.106
1.241,1.263,1.312,-45.044,-21.301,70.374
1.266,1.045,1.206,-43.396,-2.014,59.204
1.245,0.858,1.133,-43.640,5.188,39.063
1.159,0.694,1.082,-36.743,2.563,13.428
1.073,0.556,1.020,-20.935,-3.174,-9.644
0.978,0.519,0.952,-2.502,-6.348,-25.574
0.867,0.523,0.817,18.005,0.305,-32.837
0.747,0.516,0.612,38.452,14.526,-31.982
0.649,0.509,0.384,53.223,27.283,-24.841
0.557,0.533,0.168,58.533,35.767,-15.015
0.534,0.563,-0.029,55.908,41.992,-4.395
0.539,0.600,-0.195,44.617,48.035,4.578
0.547,0.622,-0.280,25.330,53.223,11.047
0.555,0.627,-0.286,2.441,55.054,13.245
0.556,0.614,-0.214,-17.395,51.636,11.597
0.591,0.555,-0.112,-28.992,44.434,7.690
0.633,0.510,-0.005,-29.541,33.508,1.343
0.661,0.448,0.066,-20.996,20.569,-6.287
0.681,0.404,0.104,-8.789,8.972,-13.855
0.714,0.362,0.116,2.930,2.563,-19.104
