aX,aY,aZ,gX,gY,gZ
-0.924,0.449,-1.383,121.460,-65.674,9.277
-1.073,0.542,-1.551,85.327,-59.753,23.682
-1.134,0.440,-1.590,16.907,-55.359,41.809
-1.258,0.325,-1.532,-58.289,-64.087,71.899
-1.420,0.437,-1.454,-97.168,-81.360,108.032
-1.601,0.415,-1.598,-93.018,-100.281,116.211
-1.802,0.354,-1.656,-61.096,-130.676,96.069
-2.018,0.175,-1.631,-21.301,-163.757,74.158
-2.269,0.130,-1.565,11.169,-189.087,65.552
-2.409,0.118,-1.475,40.161,-214.050,67.139
-2.549,0.153,-1.352,70.679,-242.981,68.237
-2.608,0.214,-1.219,88.562,-272.095,72.510
-2.608,0.322,-0.985,85.876,-293.640,83.435
-2.594,0.406,-0.756,74.585,-308.105,92.957
-2.530,0.399,-0.509,55.786,-319.458,97.900
-2.567,0.390,-0.144,33.508,-331.482,102.600
-2.504,0.459,0.252,17.639,-340.027,111.328
-2.385,0.600,0.667,7.019,-349.426,122.192
-2.234,0.838,1.083,-2.686,-357.971,135.132
-2.040,1.056,1.329,11.230,-358.704,140.076
-1.802,1.211,1.393,42.603,-352.478,131.836
-1.639,1.296,1.370,71.533,-346.252,113.892
-1.395,1.304,1.473,78.308,-337.708,101.685
-1.150,1.380,1.646,74.829,-327.148,105.591
-0.820,1.434,1.882,71.045,-317.444,109.070
-0.373,1.464,2.110,74.097,-304.138,95.642
-0.138,1.482,2.218,78.430,-285.278,66.223
0.043,1.435,2.132,91.309,-265.503,30.273
0.209,1.323,1.998,101.685,-249.512,1.648
0.257,1.208,1.776,88.623,-226.074,-6.531
0.335,1.183,1.533,68.481,-200.562,-2.258
0.457,1.170,1.363,55.908,-184.509,5.432
0.578,1.127,1.299,45.288,-174.500,12.024
0.647,1.085,1.212,39.734,-161.133,18.372
0.581,1.064,1.113,34.241,-142.639,24.597
0.520,1.123,0.994,29.846,-124.329,31.311
0.501,1.227,0.926,18.799,-108.582,37.476
0.519,1.391,0.782,1.709,-91.125,37.659
0.459,1.537,0.664,-12.634,-79.773,26.062
0.404,1.620,0.541,-8.240,-75.623,4.333
0.467,1.586,0.351,15.930,-70.801,-18.066
0.453,1.415,0.258,37.720,-62.927,-32.654
0.416,1.199,0.254,44.617,-53.528,-37.170
0.413,0.991,0.401,35.461,-44.983,-32.471
0.402,0.806,0.521,21.301,-35.950,-23.010
0.410,0.711,0.593,12.268,-27.832,-14.099
0.428,0.724,0.650,8.545,-23.315,-8.118
0.450,0.855,0.662,14.160,-19.897,-4.272
0.476,1.062,0.518,28.015,-12.207,-3.052
0.514,1.250,0.323,35.339,-4.272,-4.761
0.490,1.405,0.249,28.503,-1.160,-9.888
0.490,1.518,0.182,14.404,3.723,-15.808
0.450,1.535,0.052,15.503,11.230,-23.132
0.461,1.431,0.066,17.212,13.977,-32.532
0.412,1.401,0.050,32.959,16.174,-39.856
0.419,1.231,0.110,10.132,14.709,-46.082
0.431,1.071,0.121,0.488,16.418,-50.293
0.425,0.962,0.121,5.127,19.714,-50.354
0.401,0.928,0.084,11.597,21.606,-48.889
0.401,0.907,0.032,17.090,22.156,-47.180
0.388,0.921,-0.032,24.841,20.935,-45.532
0.376,0.938,-0.060,33.020,18.494,-43.884
0.371,0.974,-0.048,37.598,13.733,-44.189
0.338,1.007,-0.089,44.250,9.094,-47.058
0.294,1.018,-0.150,47.119,9.216,-48.645
0.323,1.057,-0.168,47.607,16.479,-43.884
0.333,1.010,-0.199,49.988,24.780,-36.316
0.406,0.983,-0.130,44.617,27.283,-28.931
0.435,0.960,-0.075,42.358,27.893,-26.428
0.425,0.928,-0.079,45.959,29.907,-28.015
0.406,0.899,-0.113,52.124,31.860,-30.273
0.380,0.894,-0.132,53.650,32.959,-30.396
0.304,0.891,-0.183,51.758,33.752,-29.541
0.297,0.900,-0.203,50.781,31.006,-27.588
0.321,0.914,-0.151,50.110,25.024,-25.574
0.322,0.939,-0.132,52.917,22.339,-25.818
0.305,0.943,-0.146,53.162,19.409,-27.527
0.316,0.940,-0.137,52.979,14.893,-29.419
0.329,0.917,-0.096,52.490,10.559,-29.846
0.356,0.896,-0.074,53.772,9.399,-29.114
0.363,0.894,-0.064,52.734,9.766,-28.015
0.365,0.882,-0.032,49.438,9.705,-28.198
0.359,0.861,0.005,47.241,9.888,-28.809
0.362,0.850,0.037,45.349,10.620,-29.419
0.348,0.842,0.035,42.969,12.512,-29.297
