aX,aY,aZ,gX,gY,gZ
1.475,0.784,1.264,9.888,-49.438,63.416
1.616,0.937,1.406,8.301,-30.640,64.758
1.705,1.125,1.499,16.907,-18.921,53.101
1.725,1.289,1.503,25.208,-9.216,38.818
1.788,1.333,1.532,25.696,-1.038,27.100
1.750,1.352,1.574,19.836,6.592,14.526
1.640,1.320,1.633,5.432,18.066,9.338
1.505,1.276,1.665,-8.301,27.649,11.841
1.375,1.267,1.732,-21.912,34.302,21.118
1.200,1.275,1.818,-31.189,40.100,31.616
1.022,1.277,1.885,-33.630,44.128,37.415
0.741,1.287,1.952,-31.494,46.448,35.339
0.421,1.316,2.018,-27.283,45.593,25.635
0.083,1.307,1.977,-21.240,43.213,17.090
-0.142,1.278,1.866,-17.395,39.307,12.024
-0.400,1.243,1.782,-22.522,39.246,3.845
-0.703,1.146,1.637,-29.053,43.213,-9.521
-1.010,1.016,1.478,-31.067,44.556,-29.419
-1.258,0.803,1.390,-31.799,42.297,-55.969
-1.515,0.475,1.269,-29.724,39.124,-85.022
-1.659,0.105,1.063,-21.301,36.987,-105.347
-1.730,-0.181,0.801,-8.606,37.170,-106.567
-1.686,-0.271,0.589,-1.160,39.734,-84.778
-1.700,-0.243,0.334,6.531,45.837,-52.490
-1.696,-0.110,0.126,9.338,44.312,-24.353
-1.633,0.057,0.043,4.028,29.236,-1.282
-1.511,0.257,0.013,-4.700,18.433,15.930
-1.334,0.475,0.049,-22.827,16.296,28.320
-1.185,0.634,0.131,-47.852,23.437,32.593
-1.074,0.640,0.218,-71.167,34.851,26.245
-1.013,0.516,0.308,-82.092,39.246,8.423
-0.966,0.340,0.367,-75.562,40.039,-13.489
-1.071,0.198,0.303,-55.969,45.654,-29.907
-1.194,0.141,0.076,-28.320,50.537,-34.058
-1.082,0.148,-0.040,-5.798,39.856,-27.649
-0.945,0.197,0.003,-0.793,25.574,-16.785
-0.840,0.252,0.084,-3.174,19.470,-6.592
-0.697,0.292,0.191,-5.798,10.315,-0.977
-0.575,0.307,0.300,-6.897,-0.793,-0.488
-0.474,0.345,0.393,-8.484,-4.028,-0.244
-0.405,0.383,0.446,-11.292,-1.099,0.854
-0.356,0.425,0.477,-14.404,2.441,0.305
-0.329,0.453,0.521,-17.029,6.042,-1.221
-0.336,0.466,0.528,-15.930,12.390,-1.282
-0.340,0.479,0.512,-10.437,18.188,1.404
-0.315,0.515,0.495,-4.456,22.278,5.798
-0.291,0.572,0.448,1.648,23.926,9.094
-0.248,0.643,0.437,5.798,21.973,10.193
-0.206,0.694,0.473,6.836,18.311,8.057
-0.188,0.706,0.499,6.348,15.808,2.808
-0.167,0.697,0.535,4.639,10.986,-4.272
-0.151,0.642,0.605,0.610,5.310,-10.925
-0.130,0.558,0.666,-3.113,2.747,-15.259
-0.120,0.483,0.726,-6.104,3.296,-15.808
-0.107,0.431,0.746,-6.958,5.981,-12.451
-0.078,0.421,0.732,-5.249,10.376,-5.859
-0.079,0.460,0.705,-3.723,14.832,1.953
-0.065,0.531,0.662,-1.343,17.883,8.789
-0.075,0.639,0.625,1.160,19.470,13.184
-0.070,0.748,0.590,2.563,17.700,14.282
-0.049,0.818,0.566,3.845,11.658,11.475
0.008,0.854,0.573,3.723,5.676,5.554
0.026,0.836,0.591,0.427,3.052,-1.526
0.011,0.784,0.617,-3.357,2.686,-7.263
-0.007,0.704,0.676,-6.653,2.197,-10.742
-0.026,0.622,0.726,-8.179,2.380,-9.644
-0.002,0.583,0.758,-7.141,5.432,-4.395
0.029,0.581,0.783,-5.310,7.568,1.282
0.052,0.613,0.786,0.061,9.216,4.761
0.056,0.670,0.757,8.789,11.536,4.761
0.047,0.725,0.712,16.846,12.146,2.014
0.039,0.766,0.642,20.935,10.010,-1.465
0.065,0.785,0.606,19.836,5.676,-3.906
0.071,0.787,0.604,13.550,3.296,-5.798
0.056,0.769,0.636,4.456,3.845,-7.202
0.047,0.726,0.688,-2.930,5.066,-7.141
0.052,0.674,0.740,-6.531,6.409,-5.798
0.056,0.635,0.775,-5.737,7.019,-4.822
0.059,0.624,0.776,0.000,7.751,-4.883
0.049,0.627,0.768,6.897,6.348,-5.981
0.045,0.631,0.726,13.916,6.470,-6.409
