aX,aY,aZ,gX,gY,gZ
0.255,-0.413,2.161,12.390,-68.604,-19.409
0.252,-0.415,2.435,22.339,-80.811,-20.447
0.238,-0.426,2.692,35.706,-90.393,-22.705
0.182,-0.469,2.866,55.420,-91.675,-24.414
0.107,-0.516,2.928,81.238,-77.271,-21.118
0.044,-0.508,2.886,108.521,-49.683,-9.094
-0.000,-0.458,2.767,133.972,-18.921,8.972
-0.035,-0.393,2.596,154.114,5.798,28.687
-0.043,-0.303,2.427,167.969,22.278,46.692
-0.028,-0.214,2.280,176.636,29.175,61.768
0.006,-0.102,2.177,182.373,27.893,72.021
0.047,0.020,2.109,185.120,27.344,78.186
0.081,0.129,2.061,189.026,28.137,78.735
0.094,0.199,2.023,197.510,32.227,74.097
0.068,0.246,1.977,211.670,38.452,67.810
0.043,0.271,1.865,230.591,44.067,65.979
0.026,0.301,1.701,250.977,48.706,68.909
0.008,0.352,1.517,270.264,55.664,74.097
-0.017,0.392,1.312,285.278,66.162,78.613
-0.031,0.427,1.079,295.105,81.360,82.520
-0.034,0.484,0.902,295.044,98.389,84.106
-0.030,0.505,0.695,285.522,109.558,81.970
-0.000,0.510,0.480,270.813,120.056,75.562
-0.007,0.465,0.318,252.319,130.066,63.171
-0.034,0.380,0.182,237.915,137.817,49.744
-0.055,0.317,0.076,226.013,138.062,40.527
-0.048,0.279,-0.006,215.515,127.319,34.729
-0.035,0.229,-0.044,208.374,109.436,28.320
-0.008,0.161,-0.089,208.923,83.984,20.691
0.025,0.130,-0.090,210.388,54.016,13.672
0.075,0.053,-0.081,212.097,21.179,7.141
0.122,0.002,-0.172,214.172,-3.906,0.977
0.170,-0.029,-0.294,211.548,-12.756,-4.578
0.186,-0.114,-0.336,199.524,-7.751,-11.047
0.177,-0.203,-0.348,184.570,-0.793,-15.564
0.191,-0.267,-0.377,172.791,3.418,-16.052
0.223,-0.307,-0.457,165.955,4.578,-14.404
0.254,-0.326,-0.596,163.452,12.390,-14.404
0.357,-0.324,-0.800,157.104,28.931,-13.550
0.472,-0.314,-1.036,142.212,53.711,-18.005
0.440,-0.363,-1.252,121.887,81.421,-31.311
0.365,-0.450,-1.397,94.666,97.595,-42.969
0.321,-0.568,-1.427,61.218,90.515,-47.546
0.274,-0.657,-1.373,36.987,69.092,-46.143
0.265,-0.729,-1.289,25.391,35.645,-43.152
0.300,-0.733,-1.161,19.775,-2.319,-37.903
0.338,-0.757,-0.949,14.160,-38.818,-33.203
0.358,-0.820,-0.695,9.277,-63.049,-29.724
0.357,-0.841,-0.424,0.793,-66.772,-23.560
0.347,-0.906,-0.150,-9.949,-52.795,-14.648
0.349,-0.941,0.072,-17.639,-31.494,-2.991
0.404,-0.902,0.205,-19.653,-9.644,9.705
0.475,-0.848,0.231,-16.541,8.850,15.259
0.468,-0.826,0.200,-10.437,21.484,10.193
0.430,-0.861,0.157,-3.906,25.085,1.343
0.373,-0.919,0.115,2.319,21.545,-6.104
0.328,-0.953,0.065,8.301,16.113,-10.254
0.294,-0.966,0.037,10.071,9.888,-10.498
0.268,-0.984,0.016,9.155,5.432,-9.033
0.242,-1.003,-0.003,7.690,5.127,-7.202
0.210,-1.018,-0.012,4.700,5.798,-4.639
0.198,-1.035,-0.014,2.625,5.737,-0.732
0.201,-1.022,-0.013,1.953,4.395,5.554
0.230,-0.999,-0.006,1.221,1.465,11.292
0.257,-0.984,0.001,0.244,-1.343,14.465
0.274,-0.965,0.023,-0.732,-4.883,15.137
0.300,-0.962,0.038,-0.732,-11.047,15.869
0.325,-0.946,0.045,-0.183,-16.052,15.869
0.347,-0.945,0.045,0.122,-19.409,14.954
0.353,-0.947,0.047,-0.671,-21.301,13.123
0.369,-0.942,0.056,-1.770,-20.203,11.963
0.378,-0.945,0.075,-3.113,-18.921,11.475
0.376,-0.940,0.090,-3.357,-18.738,11.414
0.377,-0.933,0.103,-1.587,-19.226,11.902
0.377,-0.928,0.109,1.465,-20.813,13.428
0.381,-0.929,0.118,3.296,-22.339,15.625
0.389,-0.938,0.123,4.395,-21.179,17.883
0.395,-0.941,0.106,4.639,-16.846,21.179
0.429,-0.939,0.101,3.784,-10.986,24.841
0.470,-0.930,0.088,2.808,-6.470,27.161
0.520,-0.894,0.079,1.404,-3.723,26.306
0.550,-0.872,0.078,-0.122,-3.418,19.958
0.535,-0.885,0.088,0.122,-5.676,9.338
0.494,-0.911,0.097,2.380,-7.263,2.014
0.466,-0.925,0.101,2.930,-7.568,-0.305
0.448,-0.928,0.117,2.136,-7.874,0.000
0.439,-0.915,0.155,6.165,-7.324,1.038
0.429,-0.915,0.115,11.902,-3.357,2.075
0.418,-0.912,0.089,12.756,2.075,3.296
0.410,-0.915,0.092,11.414,6.409,5.066
0.405,-0.916,0.053,12.268,11.230,6.592
0.410,-0.919,0.046,10.620,12.146,7.019
0.409,-0.928,0.045,9.277,8.545,7.080
0.416,-0.922,0.034,9.521,3.052,8.240
0.422,-0.908,0.030,9.644,-2.197,9.094
0.427,-0.901,0.048,8.484,-6.104,8.118
0.430,-0.905,0.069,7.568,-8.484,6.348
0.428,-0.911,0.081,7.690,-9.888,4.944
0.423,-0.912,0.085,7.690,-9.583,4.333
0.417,-0.916,0.082,6.287,-7.263,4.395
0.413,-0.919,0.077,4.883,-4.333,4.578
0.411,-0.921,0.072,3.784,-1.770,5.310
0.412,-0.923,0.055,3.357,-0.061,6.165
0.413,-0.919,0.042,3.784,0.305,6.470
0.416,-0.918,0.019,4.578,-1.160,5.859
0.419,-0.918,-0.002,5.005,-2.747,4.272
0.432,-0.911,-0.015,4.639,-4.944,2.808
0.436,-0.900,-0.018,3.479,-8.789,0.427
0.436,-0.899,-0.002,1.709,-12.695,-2.686
0.423,-0.911,0.028,0.732,-16.418,-4.761
0.406,-0.906,0.066,0.793,-18.311,-5.432
0.396,-0.933,0.093,1.953,-18.677,-4.700
0.392,-0.932,0.098,2.930,-17.029,-2.930
0.404,-0.930,0.109,2.380,-13.062,0.427
0.420,-0.925,0.116,0.732,-8.606,2.930
0.430,-0.917,0.126,-0.916,-4.517,4.028
0.439,-0.916,0.133,-1.892,-2.075,4.211
0.443,-0.915,0.128,-1.831,-0.427,3.662
0.447,-0.914,0.119,-1.465,0.427,2.747

0.408,-0.255,2.013,38.208,-40.039,-19.043
0.429,-0.261,2.125,52.979,-41.748,-19.104
0.446,-0.255,2.236,68.909,-47.546,-20.691
0.443,-0.252,2.380,85.388,-58.228,-24.231
0.415,-0.253,2.528,101.563,-70.374,-27.466
0.357,-0.263,2.667,118.530,-78.552,-29.663
0.293,-0.302,2.766,138.000,-77.026,-28.259
0.212,-0.326,2.776,163.025,-65.002,-19.104
0.155,-0.336,2.644,194.092,-43.518,-2.197
0.130,-0.281,2.406,222.351,-14.404,19.470
0.118,-0.203,2.128,241.089,15.259,40.710
0.142,-0.089,1.852,250.610,39.978,58.594
0.201,0.064,1.638,251.770,55.542,69.397
0.275,0.205,1.498,245.117,57.251,69.702
0.271,0.281,1.439,232.117,48.035,60.730
0.226,0.291,1.445,219.116,33.875,48.584
0.171,0.286,1.459,208.496,19.104,40.588
0.085,0.275,1.479,200.989,6.653,38.696
0.012,0.255,1.452,201.294,4.272,43.030
-0.026,0.279,1.366,206.543,16.113,51.270
-0.085,0.307,1.244,212.708,36.011,59.753
-0.129,0.323,1.058,221.924,60.120,67.017
-0.135,0.358,0.824,231.262,86.060,72.266
-0.103,0.417,0.607,234.985,108.459,73.120
-0.064,0.409,0.388,234.314,122.559,66.162
-0.010,0.391,0.186,229.492,128.784,52.856
0.038,0.366,0.040,221.436,124.573,34.729
0.029,0.276,-0.083,217.590,111.206,12.756
0.014,0.148,-0.203,218.689,89.294,-5.798
0.019,0.032,-0.270,216.003,60.974,-16.052
0.032,-0.087,-0.267,205.994,28.870,-17.395
0.042,-0.159,-0.235,197.144,0.732,-11.353
0.093,-0.216,-0.202,191.833,-16.602,-3.357
0.164,-0.261,-0.190,188.599,-23.682,4.272
0.249,-0.274,-0.204,185.791,-21.851,10.376
0.296,-0.322,-0.212,176.697,-14.221,11.108
0.307,-0.388,-0.233,167.908,-3.296,9.216
0.301,-0.429,-0.276,160.767,8.484,8.667
0.302,-0.474,-0.317,150.940,17.822,7.324
0.317,-0.499,-0.388,139.832,24.109,4.822
0.334,-0.516,-0.464,127.197,28.748,1.099
0.360,-0.564,-0.508,114.258,27.710,-3.540
0.363,-0.601,-0.556,101.013,19.958,-6.897
0.360,-0.625,-0.604,93.567,11.902,-9.216
0.369,-0.645,-0.621,91.675,7.446,-9.399
0.395,-0.655,-0.643,89.233,5.981,-6.165
0.421,-0.655,-0.631,80.139,9.583,-2.747
0.444,-0.680,-0.567,67.505,17.639,-0.244
0.473,-0.684,-0.481,54.688,23.560,1.587
0.496,-0.682,-0.409,45.898,21.851,1.099
0.532,-0.687,-0.362,39.368,11.780,-3.052
0.532,-0.702,-0.290,31.799,-0.244,-10.071
0.491,-0.759,-0.194,22.827,-12.939,-18.250
0.431,-0.814,-0.090,17.212,-23.132,-24.841
0.369,-0.852,-0.016,16.357,-28.442,-27.100
0.332,-0.877,0.016,19.104,-27.710,-25.085
0.315,-0.871,0.007,21.851,-18.982,-19.775
0.310,-0.883,-0.003,22.339,-2.991,-14.526
